optimus_id,vote_prob,Vote
861681,0.4575675599797551,0
1084850,0.040349981816397436,0
644435,0.010783835113400897,0
57683,0.03691313979049011,0
167371,0.718858461015203,1
974034,0.26790756106637836,0
660415,0.045282302646078104,0
313964,0.06672583201387981,0
720804,0.09108472895483873,0
547190,0.07008551544560224,0
960468,0.01828358104174898,0
981530,0.01695407079354406,0
588688,0.1135897393785199,0
876200,0.10679865043914054,0
548469,0.0217125761903255,0
411609,0.7438688795045574,1
941281,0.07663842794788803,0
234208,0.00930075986902727,0
597777,0.01914822599845394,0
274336,0.5788848620952083,1
198876,0.022757130678216782,0
14339,0.08319665898942108,0
179933,0.4531343584126189,0
564484,0.01733077165727243,0
11866,0.14656581105400723,0
200686,0.03102951966003507,0
58953,0.7012871339823662,1
796126,0.15649223950090888,0
362076,0.015663826343653604,0
421768,0.013327943460605571,0
966514,0.0533699267595956,0
1064390,1.3061470042855439,1
838230,0.026289685208740286,0
755035,0.05357036655332266,0
1072885,0.06470170243096617,0
420837,0.017066689156242945,0
1082391,0.7648948176112125,1
227120,0.013345306565315653,0
311035,0.009740366297178699,0
363704,0.3663545356954824,0
456756,0.17639536300357497,0
42840,0.40216848209732514,0
799729,0.9575928519818254,1
726283,0.3711991473503003,0
583915,0.9880231767665801,1
308032,0.019361961738505393,0
168505,0.08789330457415753,0
735259,0.03417068043107671,0
66912,0.41006930536592306,0
662823,0.4945644671860975,0
1019730,0.0909987489792346,0
61697,0.048987504238592695,0
57229,0.03518290539325873,0
741505,0.041597528197933456,0
132125,0.5576387491810596,1
600740,0.13111693241987676,0
51709,0.028445952351581046,0
915317,0.026091282989137335,0
202936,0.0356035950268247,0
449898,0.0182717034757794,0
379526,0.03434590259373402,0
27820,0.04196784050077658,0
243999,0.40855668064533973,0
61526,0.8117827620365567,1
711608,0.6810461445414155,1
1099236,0.9995980254733356,1
260402,0.503545164724297,1
1023858,0.5451988288293205,1
753700,0.023758495013386487,0
142804,0.33377563274810956,0
546853,0.012754287094215914,0
747099,0.5684835620076305,1
739242,0.4565737397099743,0
692258,0.019952960985837733,0
172373,0.6061427394379557,1
151098,0.013900406803573424,0
854958,1.0425518495112025,1
943670,0.024783951224015267,0
86126,0.007047495683034637,0
720210,0.561696152262968,1
75620,0.025955220923264362,0
703290,0.030309631157391333,0
1068845,0.589689162353193,1
34894,1.0687848118650545,1
1030349,0.15958729562298749,0
1012764,0.7975804043033089,1
689193,0.008851189772798203,0
945461,0.01869581922829523,0
396369,0.09515937792754575,0
1072971,1.2552793705973795,1
1021885,0.087446006771521,0
50902,0.1808469905648037,0
150818,0.014251442247711871,0
566310,0.010757904486377125,0
23490,0.015312839442399046,0
595403,0.13318626654628382,0
849434,0.03392284357146135,0
169226,0.025600418991437373,0
523717,0.015241306438491021,0
719325,0.047197174450527096,0
717194,0.624372964262121,1
171279,0.01058187035467734,0
573030,0.007719028372281154,0
72707,0.013936406258856414,0
124045,0.38266886446050996,0
995295,0.01799473818280096,0
335951,0.48549242839142953,0
804665,0.49829840624207083,0
856994,0.03155411296333489,0
133914,0.013039716569712992,0
731305,0.06780353072112051,0
1029373,0.031816668166930864,0
329879,0.10442865774310904,0
108075,0.020341653205847576,0
789063,0.024494269616502213,0
362305,0.3441782594638428,0
814191,0.03702859908165171,0
557319,0.06346177118108978,0
805034,0.3535219802687129,0
1079098,0.9749394145825756,1
673469,0.17218035236504042,0
165316,0.4575985679837485,0
374348,0.014268899726312338,0
1031430,1.0323286855816307,1
776516,0.1402381903765033,0
