instance_id,0
MSC_83537.0,4
MSC_22044.0,4
MSC_62017.0,5
MSC_76365.0,6
MSC_71493.0,0
MSC_30580.0,0
MSC_28346.0,5
MSC_33942.0,6
MSC_25657.0,6
MSC_54552.0,4
MSC_54638.0,6
MSC_82740.0,5
MSC_86737.0,6
MSC_64882.0,4
MSC_79378.0,4
MSC_90939.0,0
MSC_35105.0,0
MSC_20233.0,5
MSC_70859.0,6
MSC_23087.0,4
MSC_84493.0,4
MSC_33704.0,5
MSC_54167.0,2
MSC_40350.0,0
MSC_54337.0,0
MSC_60690.0,0
MSC_26210.0,4
MSC_59241.0,0
MSC_63855.0,4
MSC_42965.0,1
MSC_62131.0,6
MSC_49602.0,5
MSC_76148.0,6
MSC_67639.0,6
MSC_24197.0,5
MSC_64049.0,4
MSC_29784.0,2
MSC_38397.0,0
MSC_53274.0,5
MSC_62289.0,0
MSC_35905.0,5
MSC_61711.0,4
MSC_70253.0,4
MSC_85395.0,2
MSC_47884.0,4
MSC_64633.0,4
MSC_23333.0,5
MSC_51339.0,0
MSC_81593.0,5
MSC_66784.0,5
MSC_29651.0,0
MSC_43894.0,3
MSC_21930.0,6
MSC_75929.0,5
MSC_20149.0,4
MSC_26527.0,0
MSC_88418.0,6
MSC_38706.0,4
MSC_55677.0,5
MSC_35513.0,0
MSC_43093.0,4
MSC_38470.0,6
MSC_88198.0,6
MSC_63171.0,2
MSC_64382.0,6
MSC_61438.0,5
MSC_21651.0,5
MSC_41319.0,0
MSC_58664.0,5
MSC_51737.0,0
MSC_75211.0,4
MSC_51101.0,0
MSC_59043.0,5
MSC_35970.0,6
MSC_88055.0,2
MSC_87125.0,0
MSC_77067.0,1
MSC_72690.0,6
MSC_49341.0,3
MSC_86847.0,2
MSC_44932.0,6
MSC_26828.0,1
MSC_56038.0,1
MSC_30260.0,5
MSC_47866.0,0
MSC_66370.0,0
MSC_54280.0,0
MSC_58247.0,6
MSC_67763.0,6
MSC_71930.0,0
MSC_49463.0,6
MSC_69879.0,5
MSC_60106.0,0
MSC_44425.0,6
MSC_32691.0,3
MSC_34113.0,0
MSC_91032.0,1
MSC_33796.0,4
MSC_34486.0,5
MSC_26609.0,5
MSC_32190.0,6
MSC_38843.0,5
MSC_67913.0,4
MSC_87564.0,6
MSC_44808.0,6
MSC_60599.0,4
MSC_59547.0,4
MSC_81554.0,1
MSC_79908.0,6
MSC_55462.0,5
MSC_35966.0,4
MSC_28571.0,4
MSC_58475.0,0
MSC_76207.0,6
MSC_49783.0,5
MSC_32441.0,0
MSC_33651.0,0
MSC_58876.0,0
MSC_63951.0,5
MSC_70954.0,4
MSC_68066.0,6
MSC_66896.0,4
MSC_36432.0,0
MSC_37299.0,0
MSC_37494.0,0
MSC_76941.0,6
MSC_51081.0,6
MSC_39072.0,4
MSC_73276.0,0
MSC_83573.0,6
MSC_46109.0,4
MSC_83442.0,3
MSC_48772.0,5
MSC_24224.0,5
MSC_90307.0,6
MSC_43775.0,4
MSC_59854.0,4
